"Proteins","ScTAP_Ies4D_P4-Mp2Smn7y0as_dNSAF","ScTAP_Arp8D_P4-Mp2Smn7y0as_dNSAF","ScTAP_Arp5D_P3-Mp2Smn7y0as_dNSAF","ScTAP_Ies2D_P4-Mp2Smn7y0as_dNSAF"
"Rvb1",0.1940063975,0.18516897,0.226017516666667,0.1255437425
"Rvb2",0.1981492025,0.2065998075,0.196367756666667,0.1440602225
"Taf14",0.038901245,0.05243058,0.07253775,0.050972355
"Act1",0.007067615,0.00262323,0.05630925,0.042685245
"Ino80",0.0469774,0.04226,0.03442252,0.064466975
"Arp4",0.00505587,0.00189975,0.02276805,0.034247345
"Nhp10",0.1247027875,0.134339295,0.0908375033333333,0.11694909
"Ies3",0.05306004,0.055859825,0.0346170933333333,0.03204274
"Ies1",0.0527846625,0.052219555,0.04052908,0.0677634775
"Ies5",0.117775565,0.12074456,0.100240956666667,0.16325914
"Ies2",0.0793149575,0.074492805,0.0603303933333333,0.0001677275
"Arp8",0.0112902425,0,0.0402997433333333,0.075715845
"Ies4",0,0.000808635,0.0247223733333333,0.08210221
"Arp5",0.0508129175,0.0527903925,0,2.3885e-05
"Ies6",0.020101105,0.017762595,0,0
